struct dwc2_r1_rec  size=80
field                      off  sz
seq                          0   4
tag                          4   2
flags                        6   2
w_value                      8   2
w_index                     10   2
w_length                    12   2
bm_request_type             14   1
b_request                   15   1
trigger                     16   1
ep_index                    17   1
causal_state                18   1
mapping_class               19   1
gintsts                     20   4
dctl                        24   4
doepctl                     28   4
doepint                     32   4
grstctl                     36   4
gahbcfg                     40   4
status                      44   4
setup_cookie                48   8
req_dma                     56   8
req_length                  64   4
req_actual                  68   4
num_sgs                     72   2
num_mapped_sgs              74   2
flags2                      76   2
owner_cpu                   78   2

struct dwc2_r1_dump_hdr  size=112
field                      off  sz
magic                        0   4
version                      4   4
header_size                  8   4
record_size                 12   4
count                       16   4
lost                        20   4
next_seq                    24   4
caps_flags                  28   4
gsnpsid                     32   4
ghwcfg2                     36   4
ghwcfg3                     40   4
ghwcfg4                     44   4
reset_generation            48   4
setup_cfg0_seen             52   4
setup_cfgn_seen             56   4
setup_intf_seen             60   4
candidate_cfg0_seen         64   4
candidate_cfgn_seen         68   4
candidate_intf_seen         72   4
candidate_delayed_disable_seen  76   4
overlap_count               80   4
delayed_open_count          84   4
delayed_closed_count        88   4
causal_sync_count           92   4
causal_unattributed_count   96   4
snapshot_atomic            100   4
candidate_delayed_dequeue_seen 104   4
reserved1                  108   4

